event_type,event_family,example_id,trajectory_id,matched_role,current_reasoning_step_idx,previous_action,current_action,previous_action_entropy_bits,current_action_entropy_bits,delta_action_entropy_bits,previous_action_confidence,current_action_confidence,delta_action_confidence
transient_optimal_to_suboptimal,optimal_to_suboptimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,failure,15,LEFT,RIGHT,1.2733995125181012,1.2657321027619417,-0.007667409756159538,0.6957727670669556,0.5900060534477234,-0.10576671361923218
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,failure,16,RIGHT,DOWN,1.2657321027619417,1.2723734238548374,0.0066413210928957245,0.5900060534477234,0.6221433877944946,0.03213733434677124
suboptimal_to_optimal,suboptimal_to_optimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,failure,16,RIGHT,DOWN,1.2657321027619417,1.2723734238548374,0.0066413210928957245,0.5900060534477234,0.6221433877944946,0.03213733434677124
commitment_onset,commitment_onset,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,failure,16,,DOWN,1.2657321027619417,1.2723734238548374,0.0066413210928957245,0.5900060534477234,0.6221433877944946,0.03213733434677124
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_003,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,failure,24,RIGHT,UP,1.7843467017826768,1.8720462264453728,0.08769952466269593,0.4087622761726379,0.3348763287067413,-0.0738859474658966
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_003,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,failure,25,UP,RIGHT,1.8720462264453728,1.4346942631240285,-0.4373519633213443,0.3348763287067413,0.564578652381897,0.2297023236751557
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_003,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,failure,26,RIGHT,DOWN,1.4346942631240285,1.155097000049291,-0.2795972630747374,0.564578652381897,0.5690303444862366,0.0044516921043396
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_003,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,failure,34,DOWN,RIGHT,1.1380517932864551,1.1053746423857491,-0.032677150900706,0.4892062842845917,0.6820716857910156,0.19286540150642395
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_003,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,failure,35,RIGHT,LEFT,1.1053746423857491,1.0413187637779115,-0.06405587860783757,0.6820716857910156,0.7599895596504211,0.07791787385940552
suboptimal_to_optimal,suboptimal_to_optimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_003,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,failure,35,RIGHT,LEFT,1.1053746423857491,1.0413187637779115,-0.06405587860783757,0.6820716857910156,0.7599895596504211,0.07791787385940552
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_003,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,failure,36,LEFT,RIGHT,1.0413187637779115,1.3124778358986182,0.27115907212070667,0.7599895596504211,0.5875610709190369,-0.17242848873138428
sustained_optimal_to_suboptimal,optimal_to_suboptimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_003,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,failure,36,LEFT,RIGHT,1.0413187637779115,1.3124778358986182,0.27115907212070667,0.7599895596504211,0.5875610709190369,-0.17242848873138428
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_003,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,failure,45,RIGHT,DOWN,1.7347503707122998,1.5121856322615228,-0.22256473845077696,0.5059434771537781,0.5263511538505554,0.020407676696777344
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_003,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,failure,49,DOWN,UP,1.7882987297643678,1.67209428715187,-0.11620444261249774,0.4826928377151489,0.4563626050949096,-0.026330232620239313
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_003,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,failure,50,UP,DOWN,1.67209428715187,1.853271595326619,0.18117730817474897,0.4563626050949096,0.4413866996765136,-0.014975905418395996
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_003,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,failure,54,DOWN,RIGHT,1.796669423670215,1.4896634884249866,-0.30700593524522835,0.4382426142692566,0.545330822467804,0.10708820819854736
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_003,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,failure,55,RIGHT,DOWN,1.4896634884249866,1.1751787180868878,-0.31448477033809885,0.545330822467804,0.5296332240104675,-0.015697598457336426
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_003,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,failure,71,DOWN,LEFT,1.0529592299875334,0.6241313083022764,-0.4288279216852571,0.6218056082725525,0.899489164352417,0.2776835560798645
suboptimal_to_optimal,suboptimal_to_optimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_003,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,failure,71,DOWN,LEFT,1.0529592299875334,0.6241313083022764,-0.4288279216852571,0.6218056082725525,0.899489164352417,0.2776835560798645
commitment_onset,commitment_onset,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_003,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,failure,71,,LEFT,1.0529592299875334,0.6241313083022764,-0.4288279216852571,0.6218056082725525,0.899489164352417,0.2776835560798645
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,control,7,RIGHT,LEFT,0.8793822317594088,0.206979129367656,-0.6724031023917527,0.7658345103263855,0.9674753546714784,0.20164084434509288
suboptimal_to_optimal,suboptimal_to_optimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,control,7,RIGHT,LEFT,0.8793822317594088,0.206979129367656,-0.6724031023917527,0.7658345103263855,0.9674753546714784,0.20164084434509288
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,control,14,LEFT,RIGHT,0.7667074451309815,0.9222731964007346,0.15556575126975303,0.7772137522697449,0.6708184480667114,-0.10639530420303345
transient_optimal_to_suboptimal,optimal_to_suboptimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,control,14,LEFT,RIGHT,0.7667074451309815,0.9222731964007346,0.15556575126975303,0.7772137522697449,0.6708184480667114,-0.10639530420303345
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,control,15,RIGHT,LEFT,0.9222731964007346,0.4367922383769706,-0.48548095802376395,0.6708184480667114,0.9104812741279602,0.23966282606124878
suboptimal_to_optimal,suboptimal_to_optimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,control,15,RIGHT,LEFT,0.9222731964007346,0.4367922383769706,-0.48548095802376395,0.6708184480667114,0.9104812741279602,0.23966282606124878
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,control,23,LEFT,RIGHT,0.9157296735120996,0.8263703718629303,-0.08935930164916928,0.6712418794631958,0.7444121837615967,0.07317030429840088
sustained_optimal_to_suboptimal,optimal_to_suboptimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,control,23,LEFT,RIGHT,0.9157296735120996,0.8263703718629303,-0.08935930164916928,0.6712418794631958,0.7444121837615967,0.07317030429840088
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,control,24,RIGHT,LEFT,0.8263703718629303,0.9159071897889892,0.08953681792605894,0.7444121837615967,0.6712336540222168,-0.07317852973937988
suboptimal_to_optimal,suboptimal_to_optimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,control,24,RIGHT,LEFT,0.8263703718629303,0.9159071897889892,0.08953681792605894,0.7444121837615967,0.6712336540222168,-0.07317852973937988
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,control,25,LEFT,RIGHT,0.9159071897889892,1.0079541007647903,0.09204691097580109,0.6712336540222168,0.5438015460968018,-0.12743210792541504
sustained_optimal_to_suboptimal,optimal_to_suboptimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,control,25,LEFT,RIGHT,0.9159071897889892,1.0079541007647903,0.09204691097580109,0.6712336540222168,0.5438015460968018,-0.12743210792541504
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,control,27,RIGHT,LEFT,1.0029946443074884,1.0017314390840335,-0.0012632052234549107,0.5440974831581116,0.4999390840530395,-0.04415839910507208
suboptimal_to_optimal,suboptimal_to_optimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,control,27,RIGHT,LEFT,1.0029946443074884,1.0017314390840335,-0.0012632052234549107,0.5440974831581116,0.4999390840530395,-0.04415839910507208
commitment_onset,commitment_onset,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,control,27,,LEFT,1.0029946443074884,1.0017314390840335,-0.0012632052234549107,0.5440974831581116,0.4999390840530395,-0.04415839910507208
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,failure,7,RIGHT,UP,0.9323709078136062,1.0327128233304508,0.10034191551684457,0.7036190032958984,0.5420510768890381,-0.16156792640686035
sustained_optimal_to_suboptimal,optimal_to_suboptimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,failure,7,RIGHT,UP,0.9323709078136062,1.0327128233304508,0.10034191551684457,0.7036190032958984,0.5420510768890381,-0.16156792640686035
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,failure,8,UP,RIGHT,1.0327128233304508,0.9866525906470752,-0.04606023268337556,0.5420510768890381,0.6280924677848816,0.0860413908958435
suboptimal_to_optimal,suboptimal_to_optimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,failure,8,UP,RIGHT,1.0327128233304508,0.9866525906470752,-0.04606023268337556,0.5420510768890381,0.6280924677848816,0.0860413908958435
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,failure,9,RIGHT,UP,0.9866525906470752,0.9940688567241932,0.007416266077117983,0.6280924677848816,0.5873569846153259,-0.040735483169555664
sustained_optimal_to_suboptimal,optimal_to_suboptimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,failure,9,RIGHT,UP,0.9866525906470752,0.9940688567241932,0.007416266077117983,0.6280924677848816,0.5873569846153259,-0.040735483169555664
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,failure,16,UP,RIGHT,1.014387635601829,0.8285452202133766,-0.18584241538845248,0.4992880225181579,0.7442367672920227,0.2449487447738648
suboptimal_to_optimal,suboptimal_to_optimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,failure,16,UP,RIGHT,1.014387635601829,0.8285452202133766,-0.18584241538845248,0.4992880225181579,0.7442367672920227,0.2449487447738648
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,failure,25,RIGHT,UP,0.9260253334001828,1.0186589118131997,0.09263357841301689,0.6705610156059265,0.5430831909179688,-0.12747782468795776
transient_optimal_to_suboptimal,optimal_to_suboptimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,failure,25,RIGHT,UP,0.9260253334001828,1.0186589118131997,0.09263357841301689,0.6705610156059265,0.5430831909179688,-0.12747782468795776
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,failure,26,UP,RIGHT,1.0186589118131997,0.9423163807872708,-0.07634253102592892,0.5430831909179688,0.6691880226135254,0.12610483169555664
suboptimal_to_optimal,suboptimal_to_optimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,failure,26,UP,RIGHT,1.0186589118131997,0.9423163807872708,-0.07634253102592892,0.5430831909179688,0.6691880226135254,0.12610483169555664
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,failure,40,RIGHT,UP,0.7884747383313375,1.0083951408894387,0.2199204025581012,0.7977856993675232,0.6260858774185181,-0.17169982194900513
