question_id,representation,progress_bucket_10,n_positions,accuracy,balanced_accuracy
wall_down,boundary_window_mean,4,67,0.4925373134328358,0.2796610169491525
wall_down,boundary_window_mean,5,69,0.4927536231884058,0.38729508196721313
wall_down,boundary_window_mean,6,67,0.5223880597014925,0.4586864406779661
wall_down,boundary_window_mean,7,68,0.5147058823529411,0.3907721280602636
wall_down,boundary_window_mean,8,77,0.5194805194805194,0.5351307189542484
wall_down,boundary_window_mean,9,65,0.5846153846153846,0.49451754385964913
wall_down,boundary_window_mean,10,48,0.5416666666666666,0.30952380952380953
wall_down,last_token,0,48,0.7708333333333334,0.7976190476190477
wall_down,last_token,1,65,0.7076923076923077,0.5109649122807017
wall_down,last_token,2,77,0.5974025974025974,0.5310457516339869
wall_down,last_token,3,68,0.5,0.3822975517890772
wall_down,last_token,4,67,0.5074626865671642,0.3961864406779661
wall_down,last_token,5,69,0.5362318840579711,0.4661885245901639
wall_down,last_token,6,67,0.40298507462686567,0.336864406779661
wall_down,last_token,7,68,0.6176470588235294,0.7325800376647834
wall_down,last_token,8,77,0.4675324675324675,0.3611111111111111
wall_down,last_token,9,65,0.5384615384615384,0.4144736842105263
wall_down,last_token,10,48,0.5625,0.32142857142857145
wall_down,sentence_mean,0,48,0.6666666666666666,0.5238095238095238
wall_down,sentence_mean,1,65,0.6923076923076923,0.555921052631579
wall_down,sentence_mean,2,77,0.6363636363636364,0.6013071895424837
wall_down,sentence_mean,3,68,0.5,0.33521657250470804
wall_down,sentence_mean,4,67,0.5671641791044776,0.538135593220339
wall_down,sentence_mean,5,69,0.5217391304347826,0.5122950819672132
wall_down,sentence_mean,6,67,0.5970149253731343,0.663135593220339
wall_down,sentence_mean,7,68,0.5441176470588235,0.5018832391713748
wall_down,sentence_mean,8,77,0.6103896103896104,0.4901960784313726
wall_down,sentence_mean,9,65,0.6,0.5570175438596492
wall_down,sentence_mean,10,48,0.6041666666666666,0.6309523809523809
wall_left,boundary_window_mean,0,48,0.5625,0.5833333333333333
wall_left,boundary_window_mean,1,65,0.5230769230769231,0.5182926829268293
wall_left,boundary_window_mean,2,77,0.5454545454545454,0.5372340425531915
wall_left,boundary_window_mean,3,68,0.75,0.7294489611562782
wall_left,boundary_window_mean,4,67,0.5970149253731343,0.5663759689922481
wall_left,boundary_window_mean,5,69,0.6376811594202898,0.6215156794425087
wall_left,boundary_window_mean,6,67,0.6417910447761194,0.6104651162790697
wall_left,boundary_window_mean,7,68,0.6029411764705882,0.575880758807588
wall_left,boundary_window_mean,8,77,0.5844155844155844,0.5812056737588652
wall_left,boundary_window_mean,9,65,0.46153846153846156,0.4522357723577236
wall_left,boundary_window_mean,10,48,0.4583333333333333,0.4444444444444444
wall_left,last_token,0,48,0.6041666666666666,0.6277777777777778
wall_left,last_token,1,65,0.5846153846153846,0.6102642276422765
wall_left,last_token,2,77,0.6103896103896104,0.6326241134751773
wall_left,last_token,3,68,0.6029411764705882,0.556910569105691
wall_left,last_token,4,67,0.5671641791044776,0.561531007751938
wall_left,last_token,5,69,0.5217391304347826,0.4899825783972126
wall_left,last_token,6,67,0.5970149253731343,0.5387596899224806
wall_left,last_token,7,68,0.47058823529411764,0.4408310749774164
wall_left,last_token,8,77,0.5844155844155844,0.5691489361702128
wall_left,last_token,9,65,0.49230769230769234,0.4679878048780488
wall_left,last_token,10,48,0.5625,0.55
wall_left,sentence_mean,0,48,0.6666666666666666,0.6555555555555556
wall_left,sentence_mean,1,65,0.6,0.5792682926829269
wall_left,sentence_mean,2,77,0.5974025974025974,0.5858156028368795
wall_left,sentence_mean,3,68,0.6617647058823529,0.6626016260162602
wall_left,sentence_mean,4,67,0.6716417910447762,0.6337209302325582
wall_left,sentence_mean,5,69,0.6231884057971014,0.5923344947735192
wall_left,sentence_mean,6,67,0.7761194029850746,0.7335271317829457
wall_left,sentence_mean,7,68,0.6764705882352942,0.6621499548328816
wall_left,sentence_mean,8,77,0.7012987012987013,0.6769503546099291
wall_left,sentence_mean,9,65,0.6615384615384615,0.6626016260162602
wall_left,sentence_mean,10,48,0.5833333333333334,0.5666666666666667
wall_right,boundary_window_mean,0,48,0.5625,0.5576923076923077
wall_right,boundary_window_mean,1,65,0.6461538461538462,0.6503831417624522
wall_right,boundary_window_mean,2,77,0.6363636363636364,0.6313269493844049
wall_right,boundary_window_mean,3,68,0.5882352941176471,0.5928509154315607
wall_right,boundary_window_mean,4,67,0.5373134328358209,0.5380824372759856
wall_right,boundary_window_mean,5,69,0.463768115942029,0.46561969439728357
wall_right,boundary_window_mean,6,67,0.43283582089552236,0.4296594982078853
wall_right,boundary_window_mean,7,68,0.5882352941176471,0.5823888404533566
wall_right,boundary_window_mean,8,77,0.4675324675324675,0.46477428180574554
wall_right,boundary_window_mean,9,65,0.5846153846153846,0.5780651340996168
wall_right,boundary_window_mean,10,48,0.5416666666666666,0.5279720279720279
wall_right,last_token,0,48,0.3958333333333333,0.4003496503496503
wall_right,last_token,1,65,0.5692307692307692,0.5775862068965517
wall_right,last_token,2,77,0.5584415584415584,0.5461696306429549
wall_right,last_token,3,68,0.5441176470588235,0.541848299912816
wall_right,last_token,4,67,0.5373134328358209,0.53584229390681
wall_right,last_token,5,69,0.5072463768115942,0.5050933786078098
wall_right,last_token,6,67,0.44776119402985076,0.4435483870967742
wall_right,last_token,7,68,0.5,0.4934612031386225
wall_right,last_token,8,77,0.45454545454545453,0.44391244870041036
wall_right,last_token,9,65,0.4461538461538462,0.446360153256705
wall_right,last_token,10,48,0.4791666666666667,0.4632867132867133
wall_right,sentence_mean,0,48,0.4583333333333333,0.47202797202797203
wall_right,sentence_mean,1,65,0.6307692307692307,0.6331417624521073
wall_right,sentence_mean,2,77,0.7142857142857143,0.707250341997264
wall_right,sentence_mean,3,68,0.6911764705882353,0.6900610287707062
wall_right,sentence_mean,4,67,0.6417910447761194,0.6330645161290323
wall_right,sentence_mean,5,69,0.5942028985507246,0.5929541595925297
wall_right,sentence_mean,6,67,0.5671641791044776,0.5613799283154122
wall_right,sentence_mean,7,68,0.5588235294117647,0.5475152571926766
wall_right,sentence_mean,8,77,0.5584415584415584,0.5492476060191518
wall_right,sentence_mean,9,65,0.676923076923077,0.6580459770114943
wall_right,sentence_mean,10,48,0.5416666666666666,0.534965034965035
wall_up,boundary_window_mean,0,48,0.6875,0.47105263157894733
wall_up,boundary_window_mean,1,65,0.7384615384615385,0.5742296918767507
wall_up,boundary_window_mean,2,77,0.6883116883116883,0.5842749529190208
wall_up,boundary_window_mean,3,68,0.5735294117647058,0.48742138364779874
wall_up,boundary_window_mean,4,67,0.44776119402985076,0.41442048517520214
wall_up,boundary_window_mean,5,69,0.5507246376811594,0.5330188679245282
wall_up,boundary_window_mean,6,67,0.3880597014925373,0.3504043126684636
wall_up,boundary_window_mean,7,68,0.39705882352941174,0.39811320754716983
wall_up,boundary_window_mean,8,77,0.4155844155844156,0.3677024482109228
wall_up,boundary_window_mean,9,65,0.47692307692307695,0.45938375350140054
wall_up,boundary_window_mean,10,48,0.4583333333333333,0.3631578947368421
wall_up,last_token,0,48,0.6041666666666666,0.5657894736842105
wall_up,last_token,1,65,0.6923076923076923,0.51890756302521
wall_up,last_token,2,77,0.7532467532467533,0.684557438794727
wall_up,last_token,3,68,0.5441176470588235,0.49245283018867925
wall_up,last_token,4,67,0.43283582089552236,0.45754716981132076
wall_up,last_token,5,69,0.43478260869565216,0.41391509433962265
wall_up,last_token,6,67,0.3880597014925373,0.32412398921832886
wall_up,last_token,7,68,0.35294117647058826,0.29811320754716986
wall_up,last_token,8,77,0.5194805194805194,0.4548022598870056
wall_up,last_token,9,65,0.5076923076923077,0.4789915966386554
wall_up,last_token,10,48,0.5833333333333334,0.4789473684210527
wall_up,sentence_mean,0,48,0.6041666666666666,0.5657894736842105
wall_up,sentence_mean,1,65,0.7076923076923077,0.5546218487394958
wall_up,sentence_mean,2,77,0.7792207792207793,0.7594161958568738
wall_up,sentence_mean,3,68,0.6470588235294118,0.6062893081761006
wall_up,sentence_mean,4,67,0.5074626865671642,0.47843665768194066
wall_up,sentence_mean,5,69,0.4782608695652174,0.44221698113207547
wall_up,sentence_mean,6,67,0.373134328358209,0.3146900269541779
wall_up,sentence_mean,7,68,0.4852941176470588,0.47861635220125787
wall_up,sentence_mean,8,77,0.3246753246753247,0.2504708097928437
wall_up,sentence_mean,9,65,0.5076923076923077,0.4271708683473389
wall_up,sentence_mean,10,48,0.5,0.4631578947368421
